1170.5278 1016.24805, 0.0 0.0 0.0
1157.2325 901.75555, 0.0387 0.0 0.0
1259.536 891.0281, 0.0387 0.0387 0.0
1274.421 1003.2229, 0.0 0.0387 0.0
1289.8401 1001.3426, 0.0 0.0444 0.0
1274.8632 889.4449, 0.0387 0.0444 0.0
1374.0212 878.70325, 0.0387 0.0831 0.0
1390.14 988.44836, 0.0 0.0831 0.0
1404.9498 986.47, 0.0 0.0888 0.0
1388.8961 877.32434, 0.0387 0.0888 0.0
1484.6437 866.6387, 0.0387 0.1275 0.0
1501.5598 973.6503, 0.0 0.1275 0.0
1515.8281 971.8827, 0.0 0.13319999 0.0
1498.9161 865.0261, 0.0387 0.13319999 0.0
1591.368 854.2925, 0.0387 0.17189999 0.0
1608.8442 959.26776, 0.0 0.17189999 0.0
1622.7745 957.3707, 0.0 0.1776 0.0
1605.3741 852.5558, 0.0387 0.1776 0.0
1694.5939 842.1259, 0.0387 0.2163 0.0
1713.0378 945.2457, 0.0 0.2163 0.0
1155.4268 884.97455, 0.0444 0.0 0.0
1142.9785 774.6942, 0.0831 0.0 0.0
1243.6007 765.5216, 0.0831 0.0387 0.0
1257.6245 874.3528, 0.0444 0.0387 0.0
1272.8313 872.7039, 0.0444 0.0444 0.0
1258.7103 764.079, 0.0831 0.0444 0.0
1356.2754 755.52014, 0.0831 0.0831 0.0
1371.7395 862.42554, 0.0444 0.0831 0.0
1386.5862 860.7115, 0.0444 0.0888 0.0
1370.8673 754.2074, 0.0831 0.0888 0.0
1465.6703 745.6634, 0.0831 0.1275 0.0
1482.3422 850.42676, 0.0444 0.1275 0.0
1496.6476 848.83636, 0.0444 0.13319999 0.0
1480.0231 744.4155, 0.0831 0.13319999 0.0
1571.7616 735.86115, 0.0831 0.17189999 0.0
1588.9971 838.4694, 0.0444 0.17189999 0.0
1602.7775 837.026, 0.0444 0.1776 0.0
1585.6405 734.56024, 0.0831 0.1776 0.0
1674.4077 725.79285, 0.0831 0.2163 0.0
1692.1643 826.5431, 0.0444 0.2163 0.0
1141.4431 758.57684, 0.0888 0.0 0.0
1129.8113 652.7264, 0.1275 0.0 0.0
1228.8112 645.0523, 0.1275 0.0387 0.0
1241.7493 749.4849, 0.0888 0.0387 0.0
1256.8043 748.3514, 0.0888 0.0444 0.0
1243.6984 643.9447, 0.1275 0.0444 0.0
1339.8553 636.7219, 0.1275 0.0831 0.0
1354.1709 739.5844, 0.0888 0.0831 0.0
1368.7924 738.4686, 0.0888 0.0888 0.0
1354.3348 635.7176, 0.1275 0.0888 0.0
1448.3176 628.89386, 0.1275 0.1275 0.0
1463.466 730.2193, 0.0888 0.1275 0.0
1477.6709 728.8194, 0.0888 0.13319999 0.0
1462.5366 627.7839, 0.1275 0.13319999 0.0
1553.536 621.09827, 0.1275 0.17189999 0.0
1569.3904 720.5586, 0.0888 0.17189999 0.0
1583.4219 719.2565, 0.0888 0.1776 0.0
1567.2949 619.92365, 0.1275 0.1776 0.0
1655.2885 613.0134, 0.1275 0.2163 0.0
1672.0366 710.7125, 0.0888 0.2163 0.0
1128.164 637.1645, 0.13319999 0.0 0.0
1117.3641 533.9414, 0.17189999 0.0 0.0
1215.2856 527.9121, 0.17189999 0.0387 0.0
1227.138 629.5842, 0.13319999 0.0387 0.0
1241.8243 628.5502, 0.13319999 0.0444 0.0
1229.9404 527.10754, 0.17189999 0.0444 0.0
1325.3081 521.3877, 0.17189999 0.0831 0.0
1338.1409 621.56744, 0.13319999 0.0831 0.0
1352.6421 620.5919, 0.13319999 0.0888 0.0
1339.7756 520.5638, 0.17189999 0.0888 0.0
1432.8483 514.81287, 0.17189999 0.1275 0.0
1446.1624 613.9747, 0.13319999 0.1275 0.0
1460.4741 612.7645, 0.13319999 0.13319999 0.0
1446.7518 513.9523, 0.17189999 0.13319999 0.0
1536.8928 508.6341, 0.17189999 0.17189999 0.0
1551.4316 606.13715, 0.13319999 0.17189999 0.0
1565.0195 605.1866, 0.13319999 0.1776 0.0
1550.4889 507.90054, 0.17189999 0.1776 0.0
1637.1598 502.6837, 0.17189999 0.2163 0.0
1652.9104 598.34546, 0.13319999 0.2163 0.0
