648.53845 384.78177, 0.120000005 0.0 0.0
642.4761 421.63153, 0.14500001 0.0 0.0
605.55115 418.42194, 0.14500001 0.025 0.0
611.31824 380.52902, 0.120000005 0.025 0.0
603.02057 379.71722, 0.120000005 0.030000001 0.0
596.7774 417.37177, 0.14500001 0.030000001 0.0
558.6054 414.16913, 0.14500001 0.055 0.0
564.5195 375.71246, 0.120000005 0.055 0.0
555.6234 374.7429, 0.120000005 0.060000002 0.0
549.91656 413.0574, 0.14500001 0.060000002 0.0
510.59174 409.59195, 0.14500001 0.085 0.0
516.16547 370.60947, 0.120000005 0.085 0.0
507.3782 369.5111, 0.120000005 0.09 0.0
501.80142 408.81357, 0.14500001 0.09 0.0
460.91647 404.816, 0.14500001 0.115 0.0
466.38782 365.30258, 0.120000005 0.115 0.0
457.2727 364.16974, 0.120000005 0.120000005 0.0
451.9198 404.25433, 0.14500001 0.120000005 0.0
409.54156 400.04428, 0.14500001 0.14500001 0.0
414.84488 359.49258, 0.120000005 0.14500001 0.0
405.3162 358.5194, 0.120000005 0.15 0.0
400.19888 399.26874, 0.14500001 0.15 0.0
356.44034 395.0504, 0.14500001 0.17500001 0.0
361.22058 353.68762, 0.120000005 0.17500001 0.0
351.3561 352.78387, 0.120000005 0.18 0.0
346.3243 394.30472, 0.14500001 0.18 0.0
300.9644 389.8573, 0.14500001 0.20500001 0.0
305.71378 347.64594, 0.120000005 0.20500001 0.0
655.74164 337.9842, 0.09 0.0 0.0
649.8337 376.2794, 0.115 0.0 0.0
612.5191 372.0233, 0.115 0.025 0.0
618.5578 333.33682, 0.09 0.025 0.0
610.1199 332.5027, 0.09 0.030000001 0.0
604.1323 371.13586, 0.115 0.030000001 0.0
565.63885 366.6721, 0.115 0.055 0.0
571.4623 327.79227, 0.09 0.055 0.0
562.5939 326.6983, 0.09 0.060000002 0.0
556.8166 365.6616, 0.115 0.060000002 0.0
517.3628 361.5399, 0.115 0.085 0.0
523.0685 321.66183, 0.09 0.085 0.0
514.279 320.95776, 0.09 0.09 0.0
